"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","fba6eb613b52a8a467aca3f9523ffb38",1,1,0,8,9,1,"sars",0.957267482001661,1,0.0511444444444444,0.0579111111111111,-0.0533333333333333,1,0.0123456790123457,-0.111111111111111,2,44,0.2587
"2","fba6eb613b52a8a467aca3f9523ffb38",1,1,4,8,9,2,"sars",0.385326004311126,1,-0.215877777777778,0.34292962962963,0.303688888888889,0.333333333333333,0.228166438042981,0.333333333333333,2,44,0.2587
"3","fba6eb613b52a8a467aca3f9523ffb38",1,1,0,8,9,3,"sars",0.150722699427542,1,0.196844444444444,0.346688888888889,-0.240911111111111,1,0.0123456790123457,-0.111111111111111,2,44,0.2587
"4","fba6eb613b52a8a467aca3f9523ffb38",1,1,6,8,9,4,"sars",0.721769395456261,1,-0.0491,0.96186,0.233133333333333,0.333333333333333,0.432098765432099,0.555555555555556,2,44,0.2587
"5","fba6eb613b52a8a467aca3f9523ffb38",2,1,4,17,9,1,"sars",0.330476260157273,1,-0.249144444444444,0.314331481481481,0.344511111111111,0.333333333333333,0.241197988111568,0.388888888888889,2,44,0.3738
"6","fba6eb613b52a8a467aca3f9523ffb38",2,1,0,17,9,2,"sars",0.420436144737068,1,0.119111111111111,0.167744444444444,-0.134144444444444,1,0.00308641975308642,-0.0555555555555556,2,44,0.3738
"7","fba6eb613b52a8a467aca3f9523ffb38",2,1,6,17,9,3,"sars",0.156195144814971,1,-0.172877777777778,0.648871111111111,0.449333333333333,0.333333333333333,0.446913580246914,0.611111111111111,2,44,0.3738
"8","fba6eb613b52a8a467aca3f9523ffb38",2,1,7,17,9,4,"sars",0.969433992979607,1,-0.216288888888889,0.917692592592593,0.383244444444444,0.111111111111111,0.481681527206219,0.722222222222222,2,44,0.3738
"9","fba6eb613b52a8a467aca3f9523ffb38",3,5,0,1,9,1,"sars",0.150113717012607,1,0.2846,0.475055555555556,-0.342411111111111,1,0.0342935528120713,-0.185185185185185,2,44,5e-04
"10","fba6eb613b52a8a467aca3f9523ffb38",3,5,6,1,9,2,"sars",0.516012642667092,0.666666666666667,0.1989,1.44708,-0.170711111111111,0.333333333333333,0.42002743484225,0.481481481481482,2,44,5e-04
"11","fba6eb613b52a8a467aca3f9523ffb38",3,5,7,1,9,3,"sars",0.971987240260841,0.555555555555556,0.371044444444444,3.17472407407407,-0.882777777777778,0.111111111111111,0.43489305492049,0.592592592592593,2,44,5e-04
"12","fba6eb613b52a8a467aca3f9523ffb38",3,5,7,1,9,4,"sars",0.999933023294519,0.585185185185185,0.676077777777778,8.52196388888889,-2.37662222222222,-0.111111111111111,0.382868465172992,0.592592592592593,2,44,5e-04
"13","fba6eb613b52a8a467aca3f9523ffb38",4,5,6,10,9,1,"sars",0.834750219154866,1,0.0405888888888889,0.943665555555556,0.1401,0.333333333333333,0.426543209876543,0.527777777777778,2,44,0.01
"14","fba6eb613b52a8a467aca3f9523ffb38",4,5,7,10,9,2,"sars",0.485829314119238,0.666666666666667,0.0355777777777778,1.23538333333333,-0.0261555555555555,0.111111111111111,0.448781149977138,0.638888888888889,2,44,0.01
"15","fba6eb613b52a8a467aca3f9523ffb38",4,5,7,10,9,3,"sars",0.945670333842735,0.5,0.217688888888889,2.13103055555556,-0.555311111111111,-0.111111111111111,0.400741598079561,0.638888888888889,2,44,0.01
"16","fba6eb613b52a8a467aca3f9523ffb38",4,5,19,10,9,4,"sars",0.999914538565947,0.5,-0.0825444444444445,3.76791518518518,-0.303577777777778,-0.777777777777778,1.34255258344765,1.97222222222222,2,44,0.01
"17","fba6eb613b52a8a467aca3f9523ffb38",5,11,7,1,9,1,"sars",0.992102581784943,0.5,0.0871555555555556,1.30395740740741,-0.118444444444444,0.111111111111111,0.421691815272062,0.533333333333333,2,44,0
"18","fba6eb613b52a8a467aca3f9523ffb38",5,11,7,1,9,2,"sars",0.915838694243217,0.537037037037037,0.354388888888889,2.1834,-0.749777777777778,-0.111111111111111,0.364334705075446,0.533333333333333,2,44,0
"19","fba6eb613b52a8a467aca3f9523ffb38",5,11,19,1,9,3,"sars",0.999933333031632,0.611111111111111,0.0982444444444444,3.20964425925926,-0.615244444444444,-0.777777777777778,1.23020759030636,1.86666666666667,3,44,0
"20","fba6eb613b52a8a467aca3f9523ffb38",6,18,7,1,9,1,"sars",0.985776746491576,0.5,0.287822222222222,1.71129166666667,-0.549122222222222,-0.111111111111111,0.345679012345679,0.444444444444444,2,44,0
"21","fba6eb613b52a8a467aca3f9523ffb38",6,18,19,1,9,2,"sars",0.998255939357782,0.675925925925926,-0.0285777777777778,2.02917166666667,-0.117344444444444,-0.777777777777778,1.14238683127572,1.77777777777778,3,44,0
"22","fba6eb613b52a8a467aca3f9523ffb38",7,25,19,0,9,1,"sars",0.999817196353137,0.555555555555556,-0.260722222222222,1.34538592592593,0.491633333333333,-0.777777777777778,1.08345604359714,1.71428571428571,3,44,0
